temp_avg;temp_max;temp_min;precipitation;humidity;wind;pressure;month;year
-3,5;-1,0;-7,5;0,5;95;6;;1;1
-1,7;1,0;-3,0;1,2;77;5;;1;1
0,8;2,8;-1,0;2,5;85;8;;1;1
-0,1;2,8;-1,5;3,0;91;7;;1;1
-0,8;1,0;-2,2;0,9;84;8;;1;1
-7,8;-0,6;-11,0;2,0;81;6;;1;1
-14,1;-8,0;-20,6;;85;3;;1;1
-9,9;-6,0;-15,0;;64;4;;1;1
-1,4;2,6;-7,8;1,5;92;8;;1;1
2,4;3,5;-0,3;6,0;86;8;;1;1
3,9;3,5;1,7;1,5;69;12;;1;1
2,8;4,0;2,0;0,5;81;13;;1;1
4,4;7,0;3,0;;72;9;;1;1
4,2;10,0;0,8;;59;7;;1;1
2,5;6,0;0,0;10,7;95;4;;1;1
1,8;7,0;-1,9;;91;5;;1;1
3,5;8,5;-1,0;;72;5;;1;1
4,5;8,5;2,0;0,6;90;3;;1;1
1,7;6,0;0,5;6,9;95;5;;1;1
1,4;2,0;0,2;2,7;96;5;;1;1
1,4;2,0;1,0;2,4;96;5;;1;1
1,5;2,0;0,0;0,2;96;4;;1;1
1,2;1,5;0,5;0,2;96;5;;1;1
2,0;3,7;1,2;1,2;98;2;;1;1
1,1;2,7;0,2;1,3;94;3;;1;1
-0,3;1,5;-1,0;0,0;96;5;;1;1
0,0;2,0;-1,5;;94;4;;1;1
0,6;3,0;-2,0;0,2;85;;;1;1
0,0;2,5;-1,5;0,5;72;8;;1;1
2,0;4,0;-0,5;0,5;76;6;;1;1
1,2;4,0;0,0;0,8;92;8;;1;1
-1,0;3,5;-6,0;;67;3;;2;1
-1,9;4,0;-6,0;;76;3;;2;1
-0,3;3,0;-1,5;1,5;82;5;;2;1
-2,8;0,0;-6,0;2,0;92;5;;2;1
-0,8;2,0;-3,0;;90;2;;2;1
-2,3;0,0;-4,0;;78;2;;2;1
-3,8;-1,6;-8,0;0,2;83;5;;2;1
-1,2;0,2;-3,7;1,8;91;9;;2;1
-2,5;0,2;-4,5;1,6;80;8;;2;1
-1,3;1,0;-3,0;0,4;86;1;;2;1
0,7;2,0;1,5;1,2;94;3;;2;1
1,3;4,0;0,0;0,2;91;4;;2;1
-1,3;6,0;-6,0;;81;2;;2;1
0,7;9,0;-5,5;;69;3;;2;1
-2,2;7,0;-3,7;;95;5;;2;1
-1,8;1,0;-3,0;;71;8;;2;1
-4,4;1,0;-9,0;;35;8;;2;1
-2,6;4,5;-10,0;;57;5;;2;1
1,9;4,5;1,0;;67;9;;2;1
4,8;10,0;1,0;;51;8;;2;1
2,4;10,0;-4,3;;64;2;;2;1
5,1;12,4;-1,8;;48;6;;2;1
4,0;12,0;0,8;0,0;86;3;;2;1
7,9;13,0;4,0;0,4;82;4;;2;1
6,3;12,0;4,0;;90;3;;2;1
4,9;7,0;3,0;5,4;95;3;;2;1
5,3;7,0;3,5;0,6;96;2;;2;1
5,5;7,0;4,5;0,2;90;2;;2;1
5,6;8,0;3,3;0,3;93;6;;3;1
6,4;10,0;4,0;5,4;71;9;;3;1
2,5;10,0;-1,0;0,2;80;10;;3;1
1,7;8,0;-1,0;1,6;57;12;;3;1
0,8;6,0;-5,0;0,2;76;6;;3;1
1,1;7,0;-1,0;0,3;82;5;;3;1
0,3;7,0;-5,0;;70;2;;3;1
1,8;11,2;-5,5;;47;3;;3;1
4,6;14,0;-3,5;;38;5;;3;1
5,1;14,0;-2,0;;46;3;;3;1
5,0;13,0;-1,5;;49;4;;3;1
5,5;12,0;4,0;1,0;93;11;;3;1
3,6;6,0;2,0;3,4;94;9;;3;1
2,2;4,5;0,6;6,5;98;2;;3;1
5,8;10,0;2,5;;81;6;;3;1
