temp_avg;temp_max;temp_min;precipitation;humidity;wind;pressure;date
-3,5;-1;-7,5;0,5;95;6;;01.01.2015
-1,7;1;-3;1,2;77;5;;02.01.2015
0,8;2,8;-1;2,5;85;8;;03.01.2015
-0,1;2,8;-1,5;3;91;7;;04.01.2015
-0,8;1;-2,2;0,9;84;8;;05.01.2015
-7,8;-0,6;-11;2;81;6;;06.01.2015
-14,1;-8;-20,6;;85;3;;07.01.2015
-9,9;-6;-15;;64;4;;08.01.2015
-1,4;2,6;-7,8;1,5;92;8;;09.01.2015
2,4;3,5;-0,3;6;86;8;;10.01.2015
3,9;3,5;1,7;1,5;69;12;;11.01.2015
2,8;4;2;0,5;81;13;;12.01.2015
4,4;7;3;;72;9;;13.01.2015
4,2;10;0,8;;59;7;;14.01.2015
2,5;6;0;10,7;95;4;;15.01.2015
1,8;7;-1,9;;91;5;;16.01.2015
3,5;8,5;-1;;72;5;;17.01.2015
4,5;8,5;2;0,6;90;3;;18.01.2015
1,7;6;0,5;6,9;95;5;;19.01.2015
1,4;2;0,2;2,7;96;5;;20.01.2015
1,4;2;1;2,4;96;5;;21.01.2015
1,5;2;0;0,2;96;4;;22.01.2015
1,2;1,5;0,5;0,2;96;5;;23.01.2015
2;3,7;1,2;1,2;98;2;;24.01.2015
1,1;2,7;0,2;1,3;94;3;;25.01.2015
-0,3;1,5;-1;0;96;5;;26.01.2015
0;2;-1,5;;94;4;;27.01.2015
0,6;3;-2;0,2;85;;;28.01.2015
0;2,5;-1,5;0,5;72;8;;29.01.2015
2;4;-0,5;0,5;76;6;;30.01.2015
1,2;4;0;0,8;92;8;;31.01.2015
-1;3,5;-6;;67;3;;01.02.2015
-1,9;4;-6;;76;3;;02.02.2015
-0,3;3;-1,5;1,5;82;5;;03.02.2015
-2,8;0;-6;2;92;5;;04.02.2015
-0,8;2;-3;;90;2;;05.02.2015
-2,3;0;-4;;78;2;;06.02.2015
-3,8;-1,6;-8;0,2;83;5;;07.02.2015
-1,2;0,2;-3,7;1,8;91;9;;08.02.2015
-2,5;0,2;-4,5;1,6;80;8;;09.02.2015
-1,3;1;-3;0,4;86;1;;10.02.2015
0,7;2;1,5;1,2;94;3;;11.02.2015
1,3;4;0;0,2;91;4;;12.02.2015
-1,3;6;-6;;81;2;;13.02.2015
0,7;9;-5,5;;69;3;;14.02.2015
-2,2;7;-3,7;;95;5;;15.02.2015
-1,8;1;-3;;71;8;;16.02.2015
-4,4;1;-9;;35;8;;17.02.2015
-2,6;4,5;-10;;57;5;;18.02.2015
1,9;4,5;1;;67;9;;19.02.2015
4,8;10;1;;51;8;;20.02.2015
2,4;10;-4,3;;64;2;;21.02.2015
5,1;12,4;-1,8;;48;6;;22.02.2015
4;12;0,8;0;86;3;;23.02.2015
7,9;13;4;0,4;82;4;;24.02.2015
6,3;12;4;;90;3;;25.02.2015
4,9;7;3;5,4;95;3;;26.02.2015
5,3;7;3,5;0,6;96;2;;27.02.2015
5,5;7;4,5;0,2;90;2;;28.02.2015
5,6;8;3,3;0,3;93;6;;01.03.2015
6,4;10;4;5,4;71;9;;02.03.2015
2,5;10;-1;0,2;80;10;;03.03.2015
1,7;8;-1;1,6;57;12;;04.03.2015
0,8;6;-5;0,2;76;6;;05.03.2015
1,1;7;-1;0,3;82;5;;06.03.2015
0,3;7;-5;;70;2;;07.03.2015
1,8;11,2;-5,5;;47;3;;08.03.2015
4,6;14;-3,5;;38;5;;09.03.2015
5,1;14;-2;;46;3;;10.03.2015
5;13;-1,5;;49;4;;11.03.2015
5,5;12;4;1;93;11;;12.03.2015
3,6;6;2;3,4;94;9;;13.03.2015
2,2;4,5;0,6;6,5;98;2;;14.03.2015
5,8;10;2,5;;81;6;;15.03.2015
6,3;11;2;;66;9;;16.03.2015
6;11;2;;55;9;;17.03.2015
3,1;11;-2;;48;6;;18.03.2015
2,8;8;-1;;77;5;;19.03.2015
2,5;9;-3;;66;3;;20.03.2015
3,3;12,4;-5,2;;47;6;;21.03.2015
2,3;5;0,4;0;87;8;;22.03.2015
1,6;8;-4,5;;47;8;;23.03.2015
6,4;16;-3,5;;46;5;;24.03.2015
11,3;19;3;;59;6;;25.03.2015
13,1;20;8;;54;6;;26.03.2015
12,2;20;4,5;;53;6;;27.03.2015
6,7;18,1;5,5;10;93;3;;28.03.2015
4,7;7,7;3;2;95;5;;29.03.2015
4,9;12;1,3;5,5;83;10;;30.03.2015
4,8;12;2;3,2;69;10;;31.03.2015
5;7;3;2,8;81;13;;01.04.2015
3,5;7,5;1,2;2,2;66;12;;02.04.2015
1,4;7,5;0;7,2;92;14;;03.04.2015
1,8;6,1;0,4;0,4;72;5;;04.04.2015
1,6;6,3;-2,3;0,2;76;8;;05.04.2015
2,5;7;-2;;83;7;;06.04.2015
4,4;7;1;;72;9;;07.04.2015
5,6;9;2;0,8;90;6;;08.04.2015
8,8;13;3,5;;49;13;;09.04.2015
8,1;18,8;-2;;37;5;;10.04.2015
9,8;20,6;-0,6;;30;3;;11.04.2015
11,4;20,6;3,5;;50;6;;12.04.2015
8,8;19;0,4;1,6;47;12;;13.04.2015
6,9;11;3;;53;10;;14.04.2015
10,6;16;6;1,2;68;12;;15.04.2015
14,4;21;8;0,5;47;10;;16.04.2015
10,3;13;6;;63;2;;17.04.2015
5,3;13;2,8;;55;5;;18.04.2015
4,6;9;1;1;65;8;;19.04.2015
5,6;9;3;0,8;85;10;;20.04.2015
5;9;3;;79;4;;21.04.2015
7,3;13;1;;44;5;;22.04.2015
10,5;19;1;;48;8;;23.04.2015
14,6;21,5;5;;43;4;;24.04.2015
13,8;23;5;;37;4;;25.04.2015
16,1;23;8;;44;4;;26.04.2015
17,5;25;8;;42;7;;27.04.2015
17,3;25;9,5;0,4;37;6;;28.04.2015
9;24,5;2;7,2;93;10;;29.04.2015
8,9;17;6,2;;55;3;;30.04.2015
12,5;18,5;8,8;;42;6;;01.05.2015
